title,perex,label
"Foot - CM 2019 - Pays-Bas - Sarina Wiegman, après la qualification des Pays-Bas : «Les choses ont tellement changé»","Après la victoire contre l&#039;Italie (2-0) ce samedi, la sélectionneuse...",Interview
Interview: Kuntz nach Final-Niederlage: «Bin super-stolz auf die Jungs»,Bei der zweiten Final-Teilnahme in Serie reicht es für Deutschlands U21 ganz knapp nicht zum zweiten Titel. Trainer Stefan Kuntz ist dennoch stolz auf seine Mannschaft - und froh über Erfahrung.,Interview
Het ridicule interview met Bernard Tomic: “Ben jij samen met Jessica uit Australiës ‘Blind Getrouwd’?”,"Twee jaar geleden kreeg Bernard Tomic op Wimbledon de halve sport- en de hele tenniswereld over zich heen, toen de Australiër zich na een lusteloze...",Interview
"Chris Woodward on Emotional night, loss against the LA Angels","Hear Chris Woodward&#039;s thoughts following Tuesday&#039;s Texas Rangers loss to the Los Angeles Angels.",Interview
Rasen und Thiem - wird das noch was?,"Rasen und Dominic Thiem – wird das noch was?
Im sechsten Anlauf war für den Weltranglisten-Vierten in Wimbledon heuer bereits zum dritten Mal in der 1. Runde Endstation. In den letzten beiden Jahren bestritt der Niederösterreicher nur vier Rasen-Matches - ein einziges davon konnte er gewinnen.
&quot;Ich würde aber trotzdem nicht sagen, dass ich mich auf Rasen nicht wohl fühle&quot;, meint Thiem zu seiner bislang eher durchwachsenen Karriere auf dem kurzgeschorenen Gras. &quot;Wenn ich während des ganzen Jahres ein Match spiele und dieses dann verliere, hat es natürlich diesen Anschein.&quot;",Interview
"Tennis: Stan Wawrinka: «Je n&#039;ai pas réussi à tuer le match»","Le Vaudois était déçu mais lucide quand il s&#039;est présenté en conférence de presse mercredi à Londres. Interview.",Interview
Olivier Giroud reveals what Frank Lampard has told Chelsea squad ‘every day’ during pre-season tour,Lamps is hammering home the message.,Interview
"Laurent Koscielny ‘very hurt’ by conflict with Arsenal, claims Olivier Giroud","The centre-back refused to go on Arsenal&#039;s pre-season tour.",Interview
"Chyběla kvalita, litoval Čermák své zahozené šance s Olympiakosem","Plzeňského Aleše Čermáka mrzela neproměněná šance v úvodním zápase druhého předkola Ligy mistrů s Olympiakosem Pireus a litoval nedostatečné kvality při zakončení. Čtyřiadvacetiletý záložník byl po domácí bezbrankové remíze zklamaný, protože cítil, že Viktoria mohla dát řeckému soupeři alespoň jeden gól. ",Interview
"Jsem šťastný, že můžu hrát za Neapol, řekl Elmas","Eljif Elmas se může těšit na další posun ve své kariéře. Teprve 19letý záložník vyměnil Fenerbahçe za Neapol, která za něho poslala 16 milionů eur a další dva může přidat v bonusech...",Interview
Paweł Tomczyk (Lech) po wygranej z Wisłą Płock. Wideo,Lech Poznań pokonał 4-0 Wisłę Płock w meczu drugiej kolejki Ekstraklasy.,Interview
Paweł Tomczyk (Lech) po wygranej z Wisłą Płock. Wideo,Lech Poznań pokonał 4-0 Wisłę Płock w meczu drugiej kolejki Ekstraklasy.,Interview
Paweł Tomczyk (Lech) po wygranej z Wisłą Płock. Wideo,Lech Poznań pokonał 4-0 Wisłę Płock w meczu drugiej kolejki Ekstraklasy.,Interview
