title,perex,label
"Hockey sur glace: Meier et San Jose qualifiés au terme d&#039;un match fou","Les Sharks, qui étaient menés 0-3 à la 50e minute, ont renversé la vapeur, puis se sont fait rejoindre, avant de faire la décision en prolongation.",Report
NHL:ssä nähtiin täysin käsittämätön nousu seiskapelin kolmannessa erässä –  jatkoon edennyt San Jose latoi neljässä minuutissa neljä ylivoimamaalia,"Ottelun suunta muuttui, kun Vegas Golden Knightsin Cody Eakin lensi suihkuun telottuaan San Jose Sharksin Joe Pavelskia.",Report
"Foot - L2 - Ligue 2 : Metz pas encore en Ligue 1, Brest s&#039;en rapproche",Tenu en échec par Grenoble (1-1) alors que Troyes a battu le Red Star...,Report
"Foot - L2 - Ligue 2 : Metz pas encore en Ligue 1, Brest s&#039;en rapproche",Tenu en échec par Grenoble (1-1) alors que Troyes a battu le Red Star...,Report
"Foot - L2 - Ligue 2 : Metz pas encore en Ligue 1, Brest s&#039;en rapproche",Tenu en échec par Grenoble (1-1) alors que Troyes a battu le Red Star...,Report
Μακάμπι - Ερυθρός Αστέρας 84-69: Ο Σφαιρόπουλος λύγισε τον Περπέρογλου,"Πιο γεμάτη η Μακάμπι Τελ Αβίβ, επικράτησε στην παράταση του Ερυθρού Αστέρα που στηρίχθηκε στον Στράτο Περπέρογλου αλλά δεν είχε άλλον σε καλή βραδιά στο Ισραήλ.",Report
Eredivisie: Ajax clear at top,Ajax moved three points clear at the top of the Eredivisie table after a 4-2 home win against Vitesse Arnhem.,Report
"Eurolega, Panathinaikos-Milano 78-79",Due liberi di Moraschini determinanti nel finale,Report
"EXCLUSIV | Mihai Buzărnescu ia cuvântul după semifinala Fed Cup cu Franţa. &quot;Mihaela nu trebuia să joace împotriva lui Garcia. A jucat acolo, rezultatul a fost cel care a fost şi au atacat-o...&quot;","ProSport a căutat câteva răspunsuri la Mihai Buzărnescu, după semifinala Fed Cup, Franţa - România, 3-2.",Report
"Stuttgart Open: Jelena Ostapenko, Elise Mertens bow out first round",Stuttgart Open: Elise Mertens and Jelene Ostapenko were the big names to make first round exits from the tournament.,Report
"Tennis: Mertens, Ostapenko bow out of Stuttgart Open in first round","Belgium&#039;s Elise Mertens and Latvia&#039;s Jelena Ostapenko were among Tuesday&#039;s first round exits at the Porsche Tennis Grand Prix in Stuttgart on a day where other high-profile players withdrew without playing a single match.",Report
"Tennis: Haase elimina Fabbiano a Budapest, Sinner rientra nel tabellone","Dopo oltre due ore di battaglia e la sospensione per pioggia, il tarantino si arrende all&#039;olandese in tre set: 7-6, 3-6, 2-6. Il millenial di Bolzano, invece, viene ripescato come lucky loser dopo il ritiro di Lajovic. Prosegue la crisi di Alexander Zverev, battuto da Jarry nel torneo di Barcellona",Report
Watch Shane Long score fastest Premier League goal ever after just seven seconds for Southampton against Watford,SHANE LONG has netted the fastest goal in Premier League history after putting Southampton ahead in just SEVEN seconds against Watford. Long chipped the Saints into the lead at Vicarage Road to leave the home crowd stunned – despite Watford kicking off. The 32-year-old wrote his name in the record books as Ralph Hasenhuttl’s men […],Report
"Sport24.co.za | WATCH: &#039;Shane Long&#039;s record will never be beaten&#039;","Southampton manager Ralph Hassenhuttl believes Shane Long&#039;s 7 second goal will remain the fastest goal in Premier League history.",Report
Foot - ESP - Liga : Huesca bat Eibar et peut toujours se maintenir,"Solide depuis trois semaines, Huesca (19e) a battu Eibar (2-0) mardi...",Report
Foot - ESP - Liga : sixième défaite de suite pour Gérone,"Premier non relégable, Gérone a perdu un sixième match d&#039;affilée en...",Report
"Steijn schrijft geschiedenis: &quot;Schitterend moment voor ons beiden&quot;",Sem Steijn werd dinsdagavond met 17 jaar en 162 dagen de jongste doelpuntenmaker ooit voor VVV-Venlo in de Eredivisie.,Report
