title,perex,label
Arsenal agree loan deal with Real Madrid for Spain star Dani Ceballos as Unai Emery gets one over Tottenham again,UNAI EMERY has confirmed that Arsenal are set to complete the signing of Real Madrid midfielder Dani Ceballos on a one-year loan deal. The 22-year-old Spanish international is due to travel to London for a medical on Tuesday after Real boss Zinedine Zidane gave the green light to the move. Emery confirmed: “We were speaking […],Transfers
Arsenal turning their attentions elsewhere after Celtic reject third Kieran Tierney bid,The deal looks dead,Transfers
Arsenal se dohodl s Realem na příchodu Ceballose,Londýnský Arsenal získal posilu pro nadcházející sezonu. V ligovém ročníku 2019/20 bude na Emirates Stadium hostovat z Realu Madrid záložník Dani Ceballos. Další nový přírůstek by měli Gunners co nevidět získat do obrany.,Transfers
Gladbach se dohodl s Guingampem na přestupu Thurama,"Marcus Thuram se vydává do Německa. Na příchodu talentovaného křídelníka Guingampu se podle očekávání dohodla Borussia Mönchengladbach, která zaplatila devět milionů eur...",Transfers
"Fekir se chystá opustit Lyon, o přestupu úspěšně jedná Betis","O jednu ze svých klíčových postav už hodně brzy přijde Olympique Lyon. Na odchodu z francouzského klubu je ofenzivní Nabil Fekir, jehož další kroky pravděpodobně povedou do španělské ligy, na realizaci transferu úspěšně pracuje Betis...",Transfers
Neymar a Bale jsou nežádoucí! Výměna fotbalových hvězd je blízko,Hvězdná výměna je blízko. Alespoň tak o tom informují na začátku týdne španělská francouzská média. Neymar by měl zamířit do Realu Madrid a obratem by se měl stěhovat do Parku princů v Paříži velšský univerzál Gareth Bale. Indicií pro fotbalový trejd je dosti. Ani jeden z fotbalistů není spokojený ve svém stávajícím klubu a Real i PSG by se trucujících a problémových hvězd rády velmi brzy zbavily.Neymar se vykašlal na start přípravy před novou sezonou a do Paříže přiletěl s týdenním zpožděním.,Transfers
AS Řím oficiálně přivedl záložníka Veretouta,Jordan Veretout se stěhuje z Fiorentiny do AS Řím. Giallorossi přivedli šestadvacetiletého záložníka na roční hostování s povinnou opcí a podepsali s ním smlouvu do roku 2024...,Transfers
AS Řím dokončil příchod obránce Manciniho z Atalanty,Gianluca Mancini se podle očekávání stěhuje z Atalanty Bergamo do AS Řím. Giallorossi 23letého stopera přivedli na roční hostování s opcí v celkové výši za 15 milionů eur...,Transfers
"Sevilla má další posilu, koupila záložníka Torrese","Óliver Torres bude od nové sezóny nastupovat za Sevillu. Bývalý mládežnický reprezentant Španělska se do vlasti vrací z Porta, které za něho obdrželo 12 milionů evropské měny...",Transfers
"Arsenal &#039;lose out to Wolves&#039; for £10million transfer of centre-back Pape Abou Cisse",Wolves boss Nuno has reportedly won the race for the giant Olympiacos centre-half,Transfers
Arsenal and Manchester United urged to sign Tottenham star Toby Alderweireld,Worth a move?,Transfers
